"Module 1","Module 2","Count","Semester"
"ST2334","ST3240",0,2010
"ST3131","ST3240",0,2010
"ST3233","ST3240",6,2010
"ST3236&MA3238","ST3240",11,2010
"ST3240","ST3240",43,2010
"ST3242","ST3240",2,2010
"ST3248","ST3240",19,2010
"ST4231","ST3240",21,2010
"ST4233","ST3240",8,2010
"ST4241","ST3240",0,2010
"ST4245","ST3240",4,2010
"SP4261","ST3240",0,2010
"ESP2107","ST3240",0,2010
"DSA1101","ST3242",0,2010
"DSA2101","ST3242",0,2010
"DSA3101","ST3242",0,2010
"DSA4211","ST3242",0,2010
"DSA4264","ST3242",0,2010
"ST1131","ST3242",2,2010
"ST1232","ST3242",0,2010
"ST2131&MA2216","ST3242",0,2010
"ST2132","ST3242",0,2010
"ST2137","ST3242",0,2010
"ST2334","ST3242",0,2010
"ST3131","ST3242",1,2010
"ST3233","ST3242",7,2010
"ST3236&MA3238","ST3242",4,2010
"ST3240","ST3242",2,2010
"ST3242","ST3242",26,2010
"ST3248","ST3242",4,2010
"ST4231","ST3242",15,2010
"ST4233","ST3242",7,2010
"ST4241","ST3242",7,2010
"ST4245","ST3242",6,2010
"SP4261","ST3242",0,2010
"ESP2107","ST3242",0,2010
"DSA1101","ST3248",0,2010
"DSA2101","ST3248",0,2010
"DSA3101","ST3248",43,2010
"DSA4211","ST3248",24,2010
"DSA4264","ST3248",5,2010
"ST1131","ST3248",3,2010
"ST1232","ST3248",0,2010
"ST2131&MA2216","ST3248",0,2010
"ST2132","ST3248",5,2010
"ST2137","ST3248",3,2010
"ST2334","ST3248",0,2010
"ST3131","ST3248",3,2010
"ST3233","ST3248",20,2010
"ST3236&MA3238","ST3248",11,2010
"ST3240","ST3248",19,2010
"ST3242","ST3248",4,2010
"ST3248","ST3248",114,2010
"ST4231","ST3248",30,2010
"ST4233","ST3248",9,2010
"ST4241","ST3248",0,2010
"ST4245","ST3248",8,2010
"SP4261","ST3248",1,2010
"ESP2107","ST3248",0,2010
"DSA1101","ST4231",0,2010
"DSA2101","ST4231",0,2010
"DSA3101","ST4231",28,2010
"DSA4211","ST4231",17,2010
"DSA4264","ST4231",1,2010
"ST1131","ST4231",3,2010
"ST1232","ST4231",0,2010
"ST2131&MA2216","ST4231",0,2010
"ST2132","ST4231",0,2010
"ST2137","ST4231",1,2010
"ST2334","ST4231",0,2010
"ST3131","ST4231",3,2010
"ST3233","ST4231",22,2010
"ST3236&MA3238","ST4231",13,2010
"ST3240","ST4231",21,2010
"ST3242","ST4231",15,2010
"ST3248","ST4231",30,2010
"ST4231","ST4231",102,2010
"ST4233","ST4231",26,2010
"ST4241","ST4231",7,2010
"ST4245","ST4231",24,2010
"SP4261","ST4231",0,2010
"ESP2107","ST4231",0,2010
"DSA1101","ST4233",0,2010
